MLVA,date,COUNT(*)
3-17-17-11-523,1/12/15,1
3-20-14-12-523,1/12/15,1
3-24-14-10-523,1/12/15,1
3-25-13-10-523,1/12/15,2
3-27-14-10-523,1/12/15,1
3-30-14-10-523,1/12/15,1
3-9-8-11-523,1/12/15,1
3-9-8-12-523,1/12/15,2
3-9-8-13-523,1/12/15,1
5-21-8-12-457,1/12/15,1
3-12-12-9-523,1/12/16,1
3-14-10-13-523,1/12/16,1
3-12-9-10-550,1/13/09,2
3-13-11-10-523,1/13/09,1
3-9-9-12-523,1/13/09,1
5-13-12-9-490,1/13/09,1
3-10-15-12-496,1/13/10,1
3-10-8-12-523,1/13/10,1
3-14-8-12-523,1/13/10,1
3-9-7-13-523,1/13/10,2
3-9-7-14-523,1/13/10,1
3-9-8-10-523,1/13/10,1
4-13-10-0-490,1/13/10,1
5-15-16-13-490,1/13/10,1
3-10-8-9-523,1/13/11,1
3-12-12-9-523,1/13/11,1
3-9-7-13-523,1/13/11,1
3-9-7-15-523,1/13/11,1
3-9-8-13-523,1/13/11,1
4-15-10-0-490,1/13/11,1
6-16-20-10-523,1/13/11,1
3-10-8-9-523,1/13/12,1
3-11-13-12-496,1/13/12,1
3-9-7-12-523,1/13/12,2
3-9-8-14-523,1/13/12,1
3-9-9-12-523,1/13/12,2
4-14-11-0-490,1/13/12,1
3-14-8-13-523,1/13/13,1
3-15-11-0-490,1/13/13,1
3-17-9-12-523,1/13/13,2
3-9-7-15-523,1/13/13,1
3-9-8-13-523,1/13/13,1
3-9-8-9-523,1/13/13,1
4-16-12-0-517,1/13/13,1
3-10-14-10-496,1/13/14,1
3-12-12-9-523,1/13/14,1
3-12-13-9-523,1/13/14,1
3-17-9-11-523,1/13/14,2
3-18-9-11-523,1/13/14,2
3-24-13-10-523,1/13/14,1
3-9-7-14-523,1/13/14,2
3-9-9-13-523,1/13/14,1
4-14-11-0-490,1/13/14,1
5-15-16-12-490,1/13/14,1
3-10-7-13-523,1/13/15,1
3-12-11-14-523,1/13/15,3
3-12-13-9-523,1/13/15,1
3-12-17-14-523,1/13/15,1
3-13-10-11-523,1/13/15,1
3-14-10-8-523,1/13/15,1
3-16-11-10-523,1/13/15,1
3-24-11-10-523,1/13/15,1
3-24-14-11-523,1/13/15,1
3-9-8-11-523,1/13/15,1
5-13-11-9-490,1/13/15,2
3-10-15-11-496,1/13/16,3
3-12-12-11-523,1/13/16,1
3-12-12-9-523,1/13/16,1
3-17-9-11-523,1/13/16,2
3-17-9-12-523,1/13/16,1
3-24-11-8-523,1/13/16,1
4-11-12-0-490,1/13/16,1
5-14-14-11-490,1/13/16,1
3-17-16-13-523,1/14/08,1
3-9-8-12-523,1/14/08,1
4-16-10-0-517,1/14/08,1
6-11-16-13-490,1/14/08,1
3-12-11-10-523,1/14/09,1
3-12-9-10-550,1/14/09,1
3-9-7-13-523,1/14/09,1
3-9-8-12-523,1/14/09,1
3-10-14-12-496,1/14/10,1
3-14-8-12-523,1/14/10,1
3-21-13-13-523,1/14/10,1
3-9-7-13-523,1/14/10,1
3-9-7-14-523,1/14/10,1
4-16-11-0-490,1/14/10,1
6-15-14-13-490,1/14/10,1
3-12-12-9-523,1/14/11,2
3-12-15-13-523,1/14/11,1
3-12-15-7-523,1/14/11,2
3-9-7-12-523,1/14/11,1
3-9-7-13-523,1/14/11,4
3-9-7-15-523,1/14/11,3
3-9-8-14-523,1/14/11,1
4-16-10-0-517,1/14/11,1
5-13-7-9-490,1/14/11,2
3-10-8-9-523,1/14/12,2
3-9-8-13-523,1/14/12,3
3-9-9-12-523,1/14/12,1
3-11-7-13-523,1/14/13,1
3-11-8-8-523,1/14/13,1
3-12-11-8-523,1/14/13,1
3-9-8-13-523,1/14/13,2
3-9-8-9-523,1/14/13,2
3-10-7-12-523,1/14/14,2
3-10-7-13-523,1/14/14,1
3-12-12-9-523,1/14/14,1
3-16-9-11-523,1/14/14,2
3-17-9-11-523,1/14/14,2
3-18-9-11-523,1/14/14,1
4-14-11-0-490,1/14/14,1
5-10-12-10-490,1/14/14,1
3-10-8-11-523,1/14/15,1
3-12-11-14-523,1/14/15,2
3-16-10-11-523,1/14/15,1
3-17-11-11-523,1/14/15,1
3-17-9-11-523,1/14/15,1
3-18-10-12-523,1/14/15,1
3-25-13-10-523,1/14/15,1
3-9-0-11-523,1/14/15,1
3-9-8-11-523,1/14/15,1
4-14-9-0-517,1/14/15,1
3-11-12-9-523,1/14/16,1
3-11-9-11-523,1/14/16,1
3-12-12-9-523,1/14/16,4
3-9-12-11-496,1/14/16,1
5-13-10-10-490,1/14/16,1
3-12-13-12-523,1/15/08,1
3-13-11-12-523,1/15/08,1
3-20-13-13-523,1/15/08,1
4-16-10-0-517,1/15/08,2
6-11-16-13-490,1/15/08,1
3-12-9-10-550,1/15/09,5
3-13-11-12-523,1/15/09,1
3-9-10-12-523,1/15/09,1
3-9-6-13-523,1/15/09,1
3-9-7-13-523,1/15/09,1
3-10-14-12-496,1/15/10,1
3-11-14-383-496,1/15/10,1
3-24-14-12-523,1/15/10,1
3-27-10-11-523,1/15/10,1
3-9-15-12-496,1/15/10,1
4-15-11-0-490,1/15/10,1
3-10-8-9-523,1/15/11,1
3-12-15-7-523,1/15/11,1
3-9-7-12-523,1/15/11,2
3-9-7-13-523,1/15/11,2
3-9-7-15-523,1/15/11,2
4-16-10-0-517,1/15/11,1
3-10-14-12-496,1/15/12,2
3-10-8-9-523,1/15/12,2
3-14-11-12-523,1/15/12,1
3-9-8-13-523,1/15/12,1
3-9-9-12-523,1/15/12,2
3-10-14-12-496,1/15/13,2
3-10-8-13-523,1/15/13,1
3-11-7-12-523,1/15/13,1
3-12-11-13-523,1/15/13,1
3-12-11-8-523,1/15/13,1
5-14-10-9-490,1/15/13,1
3-10-7-12-523,1/15/14,1
3-10-7-13-523,1/15/14,1
3-12-13-9-523,1/15/14,2
3-13-11-9-523,1/15/14,2
3-15-10-10-523,1/15/14,1
3-17-10-11-523,1/15/14,1
3-17-9-11-523,1/15/14,3
3-9-8-12-523,1/15/14,1
5-15-14-11-490,1/15/14,1
3-12-12-9-523,1/15/15,1
3-12-13-9-523,1/15/15,1
3-12-17-14-523,1/15/15,1
3-18-11-12-523,1/15/15,1
3-24-14-10-523,1/15/15,1
3-12-10-9-523,1/15/16,1
3-13-12-10-523,1/15/16,1
3-26-0-10-523,1/15/16,1
3-26-13-8-523,1/15/16,1
3-9-12-12-496,1/15/16,1
4-15-10-0-490,1/15/16,1
3-10-7-12-523,1/16/08,1
3-11-10-8-523,1/16/09,2
3-12-9-10-550,1/16/09,2
3-22-15-9-523,1/16/09,1
3-9-8-12-523,1/16/09,1
4-16-14-0-517,1/16/09,1
5-17-16-12-490,1/16/09,1
3-13-20-11-523,1/16/10,1
3-14-13-14-523,1/16/10,1
3-18-0-0-517,1/16/10,1
3-23-13-12-523,1/16/10,1
3-9-7-13-523,1/16/10,2
7-11-14-9-490,1/16/10,1
3-10-16-12-496,1/16/11,1
3-8-7-15-523,1/16/11,1
3-9-7-13-523,1/16/11,1
3-10-14-12-496,1/16/12,1
3-11-10-8-523,1/16/12,1
3-12-9-12-523,1/16/12,1
3-9-7-12-523,1/16/12,1
3-9-8-13-523,1/16/12,1
3-9-9-12-523,1/16/12,6
3-9-9-14-523,1/16/12,2
3-12-15-13-523,1/16/13,1
3-12-9-11-523,1/16/13,2
3-17-9-12-523,1/16/13,1
3-9-7-13-523,1/16/13,1
3-9-7-9-523,1/16/13,1
3-9-8-13-523,1/16/13,1
3-10-13-11-496,1/16/14,1
3-10-8-12-523,1/16/14,1
3-12-12-9-523,1/16/14,1
3-16-9-11-523,1/16/14,1
3-18-9-11-523,1/16/14,1
5-15-11-11-490,1/16/14,1
5-15-14-11-490,1/16/14,1
3-12-11-14-523,1/16/15,3
3-12-11-9-523,1/16/15,1
3-16-10-0-517,1/16/15,1
3-17-0-11-523,1/16/15,1
3-18-10-12-523,1/16/15,1
3-25-13-10-523,1/16/15,1
3-9-17-12-523,1/16/15,1
3-9-7-12-523,1/16/15,1
3-9-8-12-523,1/16/15,1
5-12-0-9-463,1/16/15,1
8-28-0-13-490,1/16/15,1
3-12-12-12-523,1/17/08,1
4-16-10-0-517,1/17/08,3
3-10-14-11-496,1/17/09,2
3-17-16-13-523,1/17/09,1
3-11-6-12-523,1/17/10,1
3-14-8-14-523,1/17/10,1
3-9-7-13-523,1/17/10,1
3-10-8-9-523,1/17/11,2
3-12-11-16-523,1/17/11,1
3-13-11-9-523,1/17/11,1
3-9-7-13-523,1/17/11,1
3-9-8-13-523,1/17/11,1
4-16-10-0-517,1/17/11,2
3-15-16-11-523,1/17/12,1
3-9-7-12-523,1/17/12,1
3-9-7-14-523,1/17/12,1
3-10-8-9-523,1/17/13,2
3-13-8-12-523,1/17/13,1
3-17-9-12-523,1/17/13,2
3-27-8-21-496,1/17/13,1
3-9-7-13-523,1/17/13,1
5-10-12-11-490,1/17/13,1
5-14-10-9-490,1/17/13,1
3-10-13-11-496,1/17/14,1
3-10-7-12-523,1/17/14,1
3-16-9-10-523,1/17/14,1
3-17-11-10-523,1/17/14,1
3-17-9-10-523,1/17/14,1
3-18-9-10-523,1/17/14,1
3-9-6-12-523,1/17/14,1
3-9-7-14-523,1/17/14,1
5-18-15-12-490,1/17/14,1
3-10-12-11-496,1/17/15,1
3-10-14-11-496,1/17/15,1
3-12-11-14-523,1/17/15,1
3-12-11-9-523,1/17/15,1
3-12-17-14-523,1/17/15,1
3-15-0-12-517,1/17/15,1
3-16-9-0-523,1/17/15,1
3-20-11-12-523,1/17/15,1
3-20-17-11-523,1/17/15,1
3-9-11-11-523,1/17/15,1
5-22-9-13-457,1/17/15,1
3-10-14-11-496,1/17/16,1
3-12-9-11-523,1/17/16,1
3-17-11-10-523,1/17/16,1
3-12-10-10-523,1/18/08,1
3-14-8-13-523,1/18/08,1
3-16-16-13-523,1/18/08,1
4-16-10-0-517,1/18/08,1
5-14-9-9-490,1/18/08,2
3-10-14-11-496,1/18/09,1
3-12-9-10-550,1/18/09,2
3-12-10-13-523,1/18/10,1
3-13-9-12-550,1/18/10,1
3-14-8-12-523,1/18/10,1
3-14-8-14-523,1/18/10,1
3-16-16-14-523,1/18/10,1
3-17-15-14-523,1/18/10,1
3-9-7-13-523,1/18/10,2
3-9-7-15-523,1/18/10,2
3-9-8-13-523,1/18/10,1
3-9-8-14-523,1/18/10,1
6-11-17-9-490,1/18/10,1
3-10-14-12-496,1/18/11,1
3-10-8-10-523,1/18/11,1
3-11-10-13-523,1/18/11,1
3-12-12-9-523,1/18/11,1
3-12-15-13-523,1/18/11,1
3-12-9-14-523,1/18/11,1
3-14-10-12-523,1/18/11,1
3-9-7-13-523,1/18/11,1
3-9-7-15-523,1/18/11,1
3-9-8-13-523,1/18/11,1
4-16-10-0-517,1/18/11,1
3-10-8-13-523,1/18/12,1
3-12-16-13-523,1/18/12,1
3-13-10-11-523,1/18/12,1
3-14-11-12-523,1/18/12,1
3-17-11-12-523,1/18/12,1
3-9-12-15-523,1/18/12,1
3-9-7-13-523,1/18/12,1
3-9-9-12-523,1/18/12,2
3-9-9-14-523,1/18/12,1
3-17-9-12-523,1/18/13,1
3-8-11-8-496,1/18/13,1
3-9-8-12-523,1/18/13,1
3-10-7-12-523,1/18/14,1
3-10-8-12-523,1/18/14,1
3-16-12-10-523,1/18/14,1
3-9-7-14-523,1/18/14,1
3-12-12-9-523,1/18/15,2
3-18-11-11-523,1/18/15,1
3-24-13-10-523,1/18/15,1
3-24-14-10-523,1/18/15,1
3-10-14-11-496,1/18/16,1
3-12-12-9-523,1/18/16,1
3-13-9-11-523,1/18/16,1
3-15-13-11-523,1/18/16,1
3-9-12-12-496,1/18/16,2
3-9-7-13-523,1/18/16,1
6-17-13-11-490,1/18/16,1
3-17-16-13-523,1/19/08,1
3-9-8-12-523,1/19/08,1
5-14-9-9-490,1/19/08,1
3-10-7-9-523,1/19/09,1
3-12-9-10-550,1/19/09,5
3-9-7-12-523,1/19/09,2
3-9-8-12-523,1/19/09,1
5-15-16-12-490,1/19/09,1
3-10-14-12-496,1/19/10,1
3-12-10-13-523,1/19/10,1
3-12-9-11-550,1/19/10,1
3-16-16-14-523,1/19/10,2
3-16-8-15-523,1/19/10,1
3-9-6-13-523,1/19/10,2
3-9-7-12-523,1/19/10,1
3-9-7-13-523,1/19/10,2
4-10-13-0-544,1/19/10,1
4-13-9-0-490,1/19/10,1
3-10-14-12-496,1/19/11,1
3-10-8-9-523,1/19/11,1
3-12-11-14-523,1/19/11,1
3-12-15-13-523,1/19/11,1
3-14-11-12-523,1/19/11,1
3-23-17-14-523,1/19/11,1
3-9-7-13-523,1/19/11,3
3-9-8-13-523,1/19/11,1
3-10-8-9-523,1/19/12,1
3-12-9-12-523,1/19/12,1
3-9-8-13-523,1/19/12,1
3-9-9-12-523,1/19/12,1
3-17-9-12-523,1/19/13,1
3-9-8-13-523,1/19/13,1
4-16-13-0-517,1/19/13,1
3-10-14-11-496,1/19/14,1
3-17-9-11-523,1/19/14,1
3-9-4-12-523,1/19/14,1
3-9-8-12-523,1/19/14,1
6-11-15-10-490,1/19/14,1
3-10-13-11-496,1/19/15,1
3-10-8-12-523,1/19/15,1
3-11-13-11-496,1/19/15,1
3-12-11-14-523,1/19/15,2
3-12-17-14-523,1/19/15,1
3-15-9-11-523,1/19/15,1
3-17-9-11-523,1/19/15,1
3-6-0-9-523,1/19/15,1
3-9-7-12-523,1/19/15,1
3-9-9-14-523,1/19/15,2
4-13-0-0-490,1/19/15,1
4-14-0-1-517,1/19/15,1
5-14-14-11-490,1/19/15,2
7-14-9-23-436,1/19/15,1
3-10-14-11-496,1/19/16,1
3-12-11-9-523,1/19/16,1
3-17-9-11-523,1/19/16,1
3-24-13-10-523,1/19/16,1
3-24-13-9-523,1/19/16,1
3-12-12-11-523,1/2/08,2
4-13-10-0-490,1/2/08,1
4-16-9-0-517,1/2/08,1
5-14-11-9-490,1/2/08,1
5-15-0-12-490,1/2/08,1
3-10-7-12-523,1/2/09,1
3-10-8-12-523,1/2/09,1
3-13-10-12-523,1/2/09,1
3-10-14-12-496,1/2/10,1
3-16-16-14-523,1/2/10,1
3-17-15-14-523,1/2/10,3
3-22-11-14-550,1/2/10,1
5-9-7-14-523,1/2/10,1
6-11-18-13-490,1/2/10,1
3-13-11-9-523,1/2/11,1
3-24-13-12-523,1/2/11,1
3-9-7-13-523,1/2/11,4
3-9-7-15-523,1/2/11,1
4-15-10-0-490,1/2/11,1
4-15-12-0-490,1/2/11,1
3-9-7-15-523,1/2/12,1
3-9-8-13-523,1/2/12,1
4-14-12-0-490,1/2/12,1
3-10-20-11-496,1/2/13,1
3-10-8-13-523,1/2/13,1
3-10-8-9-523,1/2/13,1
3-13-9-12-523,1/2/13,1
3-16-10-12-430,1/2/13,1
3-10-8-9-523,1/2/14,1
3-12-10-14-523,1/2/14,1
3-12-12-9-523,1/2/14,1
3-12-14-9-523,1/2/14,1
3-15-10-11-523,1/2/14,1
3-16-12-10-523,1/2/14,1
3-16-9-11-523,1/2/14,2
3-17-9-10-523,1/2/14,1
3-17-9-11-523,1/2/14,1
3-9-4-12-523,1/2/14,2
5-15-10-11-490,1/2/14,1
3-12-11-14-523,1/2/15,1
3-17-10-11-523,1/2/15,1
3-23-16-11-523,1/2/15,1
3-25-16-12-523,1/2/15,1
3-9-8-12-523,1/2/15,1
3-10-15-11-496,1/2/16,1
3-12-13-9-523,1/2/16,1
3-17-9-11-523,1/2/16,1
3-25-17-12-523,1/2/16,1
3-9-12-11-496,1/2/16,2
4-16-17-0-517,1/2/16,1
4-10-13-0-544,1/20/08,1
3-12-10-12-523,1/20/09,1
3-15-16-14-523,1/20/09,3
3-9-7-12-523,1/20/09,1
3-9-7-13-523,1/20/09,3
3-9-8-12-523,1/20/09,1
4-15-12-0-490,1/20/09,1
4-16-12-0-517,1/20/09,1
3-10-8-12-523,1/20/10,1
3-9-7-13-523,1/20/10,4
3-9-7-14-523,1/20/10,1
4-11-0-0-463,1/20/10,1
5-15-16-13-490,1/20/10,1
6-11-16-9-490,1/20/10,1
3-10-14-12-496,1/20/11,2
3-14-11-12-523,1/20/11,1
3-23-17-14-523,1/20/11,1
3-9-7-15-523,1/20/11,1
3-10-8-13-523,1/20/12,1
3-12-9-12-523,1/20/12,2
3-13-9-14-523,1/20/12,1
3-16-17-14-523,1/20/12,1
3-13-13-12-523,1/20/13,1
3-17-9-12-523,1/20/13,1
3-24-16-12-523,1/20/13,1
3-9-8-9-523,1/20/13,1
3-10-7-12-523,1/20/14,1
3-10-8-12-523,1/20/14,1
3-12-10-11-523,1/20/14,1
3-12-12-9-523,1/20/14,2
3-16-9-11-523,1/20/14,1
3-17-9-10-523,1/20/14,1
3-17-9-11-523,1/20/14,3
3-9-8-12-523,1/20/14,1
4-15-9-0-490,1/20/14,1
5-15-10-11-490,1/20/14,1
3-12-11-14-523,1/20/15,1
3-12-12-9-523,1/20/15,1
3-13-12-9-523,1/20/15,2
3-16-9-12-523,1/20/15,2
3-9-7-12-523,1/20/15,2
5-22-9-13-457,1/20/15,1
3-10-14-11-496,1/20/16,1
