MLVA,date,COUNT(*)
3-17-9-11-523,10/31/13,1
3-23-14-12-523,10/31/13,2
3-10-15-11-496,10/31/14,1
3-10-7-11-523,10/31/14,2
3-12-12-9-523,10/31/14,1
4-13-14-0-490,10/31/14,1
3-22-13-12-523,10/31/15,1
3-11-11-8-523,10/4/08,1
3-9-7-13-523,10/4/10,3
3-19-14-12-523,10/4/11,1
3-9-7-13-523,10/4/11,2
3-9-8-13-523,10/4/11,1
3-10-8-8-523,10/4/12,1
3-10-8-9-523,10/4/12,1
3-9-7-13-523,10/4/12,1
3-9-8-13-523,10/4/12,1
4-15-11-0-490,10/4/12,1
3-11-10-12-523,10/4/13,1
3-13-10-12-523,10/4/13,2
3-13-11-9-523,10/4/13,1
4-14-11-0-490,10/4/14,1
3-12-11-14-523,10/4/15,2
3-12-11-15-523,10/4/16,1
3-12-12-9-523,10/4/16,1
3-18-9-11-523,10/4/16,1
3-24-13-10-523,10/4/16,1
3-26-13-11-523,10/4/16,1
3-29-14-12-523,10/4/16,1
3-10-9-9-523,10/5/08,1
3-11-10-8-523,10/5/08,1
3-9-7-13-523,10/5/10,4
3-9-8-13-523,10/5/10,1
3-10-9-10-523,10/5/11,1
3-12-9-11-550,10/5/11,2
3-13-9-9-496,10/5/11,1
4-14-12-0-490,10/5/11,1
4-15-12-0-490,10/5/11,1
4-16-14-0-490,10/5/11,1
5-13-12-9-490,10/5/11,1
3-11-10-12-523,10/5/12,1
3-12-9-13-523,10/5/12,1
3-17-9-12-523,10/5/12,2
5-12-10-9-490,10/5/12,1
5-15-12-14-490,10/5/12,1
3-12-9-13-523,10/5/13,1
3-17-9-12-523,10/5/13,4
3-9-7-13-523,10/5/13,2
3-17-9-11-523,10/5/15,1
3-12-11-15-523,10/5/16,1
3-12-12-9-523,10/5/16,1
3-14-10-13-523,10/5/16,1
3-24-13-10-523,10/5/16,1
3-26-13-11-523,10/5/16,2
3-10-8-10-523,10/6/09,1
5-15-16-13-490,10/6/09,1
3-10-14-13-496,10/6/10,1
3-9-7-13-523,10/6/10,4
3-10-9-11-523,10/6/11,1
3-13-9-9-496,10/6/11,1
3-15-10-10-523,10/6/11,1
3-9-7-13-523,10/6/11,1
3-9-8-13-523,10/6/11,2
3-11-10-12-523,10/6/12,2
3-16-9-12-523,10/6/12,1
3-9-9-13-523,10/6/12,1
5-13-9-0-490,10/6/12,1
3-17-9-12-523,10/6/13,1
3-12-11-15-523,10/6/14,1
3-12-12-9-523,10/6/14,2
3-11-10-8-523,10/6/15,1
3-27-16-14-523,10/6/15,1
3-11-15-10-523,10/6/16,1
3-12-13-11-523,10/6/16,1
3-13-12-9-523,10/6/16,1
3-26-12-8-523,10/6/16,1
3-9-7-12-523,10/6/16,1
3-9-7-13-523,10/6/16,1
3-22-12-12-523,10/7/08,1
3-10-8-10-523,10/7/09,1
3-9-7-12-523,10/7/09,2
3-9-7-13-523,10/7/09,3
5-15-16-13-490,10/7/09,1
3-10-14-13-496,10/7/10,1
3-24-21-10-523,10/7/10,1
3-9-7-13-523,10/7/10,2
4-16-19-0-517,10/7/10,1
5-13-10-0-490,10/7/10,1
3-9-7-13-523,10/7/12,2
3-13-10-12-523,10/7/13,1
3-17-9-12-523,10/7/13,2
3-12-12-9-523,10/7/14,4
4-13-9-0-517,10/7/14,1
5-14-10-0-490,10/7/14,1
3-10-8-9-523,10/7/15,1
3-12-11-14-523,10/7/15,1
3-14-0-0-517,10/7/15,1
7-18-11-0-490,10/7/15,1
3-12-11-15-523,10/7/16,1
4--11-0-490,10/7/16,1
3-10-8-10-523,10/8/09,1
3-12-6-13-523,10/8/09,1
3-9-7-13-523,10/8/09,1
3-10-14-13-496,10/8/10,1
3-12-13-12-523,10/8/10,1
3-12-8-15-523,10/8/10,1
3-9-7-13-523,10/8/10,2
3-9-7-14-523,10/8/10,1
3-10-8-9-523,10/8/12,1
3-17-9-12-523,10/8/12,2
3-9-7-13-523,10/8/12,1
3-9-8-14-523,10/8/12,1
4-13-10-0-490,10/8/12,1
5-10-11-9-490,10/8/12,1
3-10-9-9-523,10/8/13,1
3-12-13-9-523,10/8/13,1
3-13-11-9-523,10/8/13,1
3-9-7-13-523,10/8/13,1
3-10-8-9-523,10/8/14,1
3-11-12-9-523,10/8/14,1
3-12-12-9-523,10/8/14,3
3-18-9-11-523,10/8/14,2
3-9-8-12-523,10/8/14,1
4-13-13-0-490,10/8/14,1
4-14-9-0-517,10/8/14,1
5-14-11-12-490,10/8/14,2
5-18-17-11-490,10/8/14,1
3-15-11-10-523,10/8/15,1
4-12-10-0-490,10/8/15,1
3-11-15-10-523,10/8/16,1
3-12-9-12-523,10/8/16,1
3-10-14-11-496,10/9/08,1
3-10-9-9-523,10/9/08,1
3-22-12-12-523,10/9/08,1
5-15-21-12-490,10/9/08,1
3-9-8-13-523,10/9/09,1
3-10-14-13-496,10/9/10,2
3-14-8-14-523,10/9/10,1
3-24-14-13-523,10/9/10,1
3-9-7-13-523,10/9/10,4
7-10-0-0-490,10/9/10,1
3-10-9-10-523,10/9/11,1
3-13-9-10-550,10/9/11,1
3-15-12-11-523,10/9/11,1
3-11-10-12-523,10/9/12,1
3-13-10-12-523,10/9/12,2
3-13-11-9-523,10/9/12,2
3-14-11-12-523,10/9/12,1
3-17-9-12-523,10/9/12,6
3-9-7-12-523,10/9/12,1
3-9-7-13-523,10/9/12,2
3-11-13-12-496,10/9/13,1
3-12-12-9-523,10/9/13,1
3-12-8-12-523,10/9/13,1
3-13-10-12-523,10/9/13,2
3-13-11-9-523,10/9/13,1
3-17-9-12-523,10/9/13,1
3-9-7-16-523,10/9/13,1
3-12-12-10-523,10/9/14,1
3-12-12-9-523,10/9/14,3
3-24-13-10-523,10/9/14,1
3-9-7-12-523,10/9/14,1
4-15-10-0-490,10/9/14,1
6-16-7-13-490,10/9/14,1
3-11-0-11-469,10/9/15,1
3-12-11-14-523,10/9/15,1
3-16-9-11-523,10/9/15,1
3-17-9-11-523,10/9/15,1
3-23-19-15-523,10/9/15,1
4-15-12-0-490,10/9/15,1
5-15-14-12-490,10/9/15,1
3-25-21-10-523,10/9/16,1
4-15-15-24-517,10/9/16,1
5-15-9-9-490,11/1/08,1
3-9-7-13-523,11/1/09,1
3-9-8-13-523,11/1/09,1
3-9-7-13-523,11/1/10,1
3-12-15-13-523,11/1/11,1
3-14-11-12-523,11/1/11,1
3-9-7-13-523,11/1/11,1
5-15-14-12-490,11/1/11,1
3-12-10-13-523,11/1/12,1
3-17-9-12-523,11/1/12,3
3-10-7-13-523,11/1/13,1
3-10-8-8-523,11/1/13,1
3-10-8-9-523,11/1/13,1
3-12-12-9-523,11/1/13,2
3-13-10-11-523,11/1/13,1
3-17-9-11-523,11/1/13,1
3-12-11-14-523,11/1/14,1
3-17-9-11-523,11/1/14,1
3-15-8-11-550,11/1/16,1
3-23-13-10-523,11/1/16,1
3-26-13-11-523,11/1/16,1
3-12-12-12-523,11/10/08,1
3-9-7-13-523,11/10/08,1
3-9-8-12-523,11/10/08,2
3-10-14-12-496,11/10/09,3
3-10-15-13-496,11/10/09,1
3-16-11-11-523,11/10/09,1
3-9-7-0-523,11/10/09,1
3-9-7-13-523,11/10/09,2
3-9-8-13-523,11/10/09,1
4-13-10-0-490,11/10/09,1
3-25-13-13-523,11/10/10,1
3-7-8-14-523,11/10/10,1
3-9-8-13-523,11/10/10,1
3-10-15-12-496,11/10/11,2
5-18-15-12-490,11/10/11,1
3-28-8-15-523,11/10/12,1
4-20-10-0-490,11/10/12,1
3-10-7-11-523,11/10/14,1
3-12-12-9-523,11/10/14,1
3-12-9-11-523,11/10/14,1
3-16-11-10-523,11/10/14,1
3-20-14-12-523,11/10/14,1
3-24-13-10-523,11/10/14,1
3-9-9-12-523,11/10/14,1
3-12-12-9-523,11/10/15,3
3-17-9-11-523,11/10/15,1
3-26-17-10-523,11/10/15,1
3-26-19-8-523,11/10/15,1
3-9-9-12-523,11/10/15,1
6-15-0-0-490,11/10/15,1
3-24-13-10-523,11/10/16,1
3-9-7-14-523,11/10/16,1
3-12-13-12-523,11/11/08,1
3-13-11-12-523,11/11/08,1
3-9-8-12-523,11/11/08,1
3-16-11-11-523,11/11/09,1
3-9-8-13-523,11/11/09,1
6-11-17-9-490,11/11/09,1
3-9-7-13-496,11/11/10,1
3-14-9-14-523,11/11/11,1
3-17-17-14-523,11/11/11,1
3-9-7-13-523,11/11/11,1
3-9-8-14-523,11/11/11,1
4-13-11-0-490,11/11/11,1
6-11-21-14-490,11/11/11,1
3-10-7-13-523,11/11/12,1
3-16-9-12-523,11/11/12,1
3-17-9-12-523,11/11/12,1
3-9-8-13-523,11/11/12,1
3-10-15-11-496,11/11/13,1
3-11-12-11-496,11/11/13,1
5-10-12-10-490,11/11/13,1
6-17-0-0-490,11/11/13,1
3-10-7-11-523,11/11/14,2
3-12-12-9-523,11/11/14,1
3-15-13-10-523,11/11/14,1
3-17-10-11-523,11/11/14,1
3-17-11-10-523,11/11/14,1
3-24-13-10-523,11/11/14,1
3-25-16-12-523,11/11/14,1
3-12-11-14-523,11/11/15,2
3-17-19-11-523,11/11/15,1
3-10-7-12-523,11/11/16,1
3-13-16-8-523,11/11/16,1
5-15-7-12-490,11/11/16,1
10-19-0-0-490,11/12/08,1
3-16-13-12-523,11/12/08,1
3-9-8-12-523,11/12/08,2
4-13-10-0-490,11/12/08,1
3-12-11-11-523,11/12/09,1
3-12-12-13-523,11/12/09,2
3-9-7-13-523,11/12/09,2
3-9-8-13-523,11/12/09,1
3-10-8-9-523,11/12/10,1
3-14-11-12-523,11/12/10,1
3-16-10-13-523,11/12/10,1
3-9-7-16-523,11/12/10,1
4-15-10-0-490,11/12/10,1
3-9-9-13-523,11/12/11,1
4-13-11-0-490,11/12/11,1
3-13-10-12-523,11/12/12,1
3-13-8-13-523,11/12/12,1
3-14-11-12-523,11/12/12,1
3-14-9-12-523,11/12/12,1
3-17-9-12-523,11/12/12,3
3-9-7-13-523,11/12/12,1
3-10-15-11-496,11/12/13,1
3-10-7-14-523,11/12/13,1
3-12-10-8-523,11/12/13,1
3-12-12-9-523,11/12/13,2
3-13-10-11-523,11/12/13,1
6-17-0-0-490,11/12/13,1
3-10-14-10-496,11/12/14,3
3-10-7-11-523,11/12/14,1
3-12-14-9-523,11/12/14,1
3-17-9-11-523,11/12/14,1
3-24-13-10-523,11/12/14,1
3-9-7-13-523,11/12/14,1
3-9-9-14-523,11/12/14,1
4-13-10-0-490,11/12/14,1
4-15-12-0-490,11/12/14,1
7-15-10-11-490,11/12/14,1
3-12-12-9-523,11/12/15,1
3-24-13-10-523,11/12/15,1
3-26-17-10-523,11/12/15,2
3-9-7-12-523,11/12/15,1
3-10-7-11-523,11/12/16,1
3-13-12-9-523,11/12/16,1
3-24-13-10-523,11/12/16,1
4-12-0-0-463,11/12/16,1
3-10-14-11-496,11/13/08,1
3-12-8-14-523,11/13/08,1
3-16-12-11-523,11/13/08,1
3-16-12-12-523,11/13/08,1
3-16-13-12-523,11/13/08,1
3-9-7-12-523,11/13/08,1
3-9-7-13-523,11/13/08,1
3-10-14-12-496,11/13/09,1
3-12-6-13-523,11/13/09,2
3-9-7-12-523,11/13/09,1
3-9-7-13-523,11/13/09,1
3-16-10-13-523,11/13/10,1
3-9-7-14-523,11/13/10,1
3-10-15-12-496,11/13/11,1
4-14-10-0-490,11/13/11,1
3-11-10-12-523,11/13/12,1
3-12-7-13-523,11/13/12,1
3-17-9-12-523,11/13/12,1
3-23-9-12-523,11/13/12,1
3-24-9-12-523,11/13/12,1
3-9-7-13-523,11/13/12,3
3-9-8-13-523,11/13/12,1
3-9-9-13-523,11/13/12,2
3-10-7-14-523,11/13/13,1
3-13-11-9-523,11/13/13,1
3-14-13-11-523,11/13/13,1
4-13-0-0-463,11/13/13,1
4-15-11-0-490,11/13/13,1
3-10-13-11-496,11/13/14,1
3-10-7-11-523,11/13/14,4
3-10-8-14-523,11/13/14,2
3-12-11-15-523,11/13/14,1
3-18-10-12-523,11/13/14,1
3-9-9-12-523,11/13/14,1
4-13-9-0-490,11/13/14,1
3-12-11-14-523,11/13/15,1
3-12-12-9-523,11/13/15,1
3-15-11-11-523,11/13/15,1
3-22-10-8-523,11/13/15,1
3-24-13-10-523,11/13/15,1
3-26-17-10-523,11/13/15,2
3-10-14-11-496,11/14/08,1
3-11-14-11-496,11/14/08,1
3-12-9-12-523,11/14/08,1
3-9-7-13-523,11/14/08,1
3-9-8-12-523,11/14/08,1
3-9-7-12-523,11/14/09,1
3-9-7-13-523,11/14/09,3
3-9-8-13-523,11/14/09,2
6-15-14-13-490,11/14/09,1
3-9-7-14-523,11/14/10,1
3-9-8-12-523,11/14/10,1
3-10-14-12-496,11/14/11,1
3-9-8-13-523,11/14/11,1
5-14-10-9-490,11/14/11,1
3-11-10-8-523,11/14/12,1
3-9-7-13-523,11/14/12,1
3-9-8-13-523,11/14/12,1
3-9-9-13-523,11/14/12,1
5-18-8-11-490,11/14/12,1
3-10-13-11-496,11/14/13,1
3-10-14-11-496,11/14/13,1
3-10-15-11-496,11/14/13,1
3-10-7-14-523,11/14/13,1
3-10-8-9-523,11/14/13,1
3-12-8-12-523,11/14/13,1
3-13-10-11-523,11/14/13,1
3-17-9-11-523,11/14/13,2
3-24-12-10-523,11/14/13,1
3-10-13-11-496,11/14/14,1
3-10-7-11-523,11/14/14,2
3-10-8-12-523,11/14/14,1
3-10-8-9-523,11/14/14,1
3-10-9-14-523,11/14/14,1
3-12-10-8-523,11/14/14,1
3-12-20-12-523,11/14/14,1
3-14-10-8-523,11/14/14,1
3-9-9-12-523,11/14/14,1
3-12-9-13-523,11/14/15,1
3-26-19-8-523,11/14/15,1
3-10-7-11-523,11/14/16,1
3-12-12-14-523,11/14/16,1
3-25-13-10-523,11/14/16,1
5-15-7-12-490,11/14/16,1
3-14-11-10-523,11/15/08,1
3-9-8-12-523,11/15/08,1
5-14-9-9-490,11/15/08,1
3-10-14-12-496,11/15/09,1
3-9-7-12-523,11/15/09,1
3-9-8-13-523,11/15/09,1
3-10-9-14-523,11/15/10,1
3-11-9-10-550,11/15/10,1
3-12-8-15-523,11/15/10,1
3-7-8-14-523,11/15/10,1
3-8-5-15-370,11/15/10,1
3-9-7-13-523,11/15/10,2
3-9-7-14-523,11/15/10,2
4-15-8-0-490,11/15/10,1
5-16-10-13-490,11/15/10,1
5-17-10-0-463,11/15/10,1
3-10-14-12-496,11/15/11,1
3-12-15-13-523,11/15/11,2
3-17-9-12-523,11/15/12,1
3-9-7-13-523,11/15/12,2
3-9-8-13-523,11/15/12,1
3-9-9-13-523,11/15/12,1
4-9-13-0-496,11/15/12,1
3-10-8-12-523,11/15/13,1
3-14-0-0-517,11/15/13,1
3-17-9-11-523,11/15/13,2
3-19-11-11-523,11/15/13,2
3-24-13-10-523,11/15/13,1
3-10-7-11-523,11/15/14,2
3-10-7-12-523,11/15/14,1
3-18-10-12-523,11/15/14,1
3-24-13-10-523,11/15/14,1
3-24-16-11-523,11/15/14,1
3-17-9-12-523,11/15/15,1
3-26-19-8-523,11/15/15,1
3-18-8-10-523,11/15/16,1
3-9-7-13-523,11/16/08,1
3-10-14-12-496,11/16/09,1
3-9-8-13-523,11/16/09,1
3-12-9-10-550,11/16/10,1
3-19-12-12-523,11/16/10,1
3-25-16-13-523,11/16/10,1
3-9-7-13-523,11/16/10,1
3-9-7-14-523,11/16/10,2
4-15-13-0-490,11/16/10,1
5-18-15-12-490,11/16/10,1
3-10-11-12-496,11/16/11,1
3-10-14-12-496,11/16/11,1
3-13-10-10-523,11/16/11,1
3-20-14-13-523,11/16/11,1
3-9-8-14-523,11/16/11,1
5-14-10-9-490,11/16/11,2
3-10-7-13-523,11/16/12,1
3-11-10-12-523,11/16/12,1
3-18-10-12-523,11/16/12,1
3-25-9-12-523,11/16/12,1
3-9-8-13-523,11/16/12,1
4-14-8-0-517,11/16/12,1
3-10-13-10-496,11/16/14,1
3-10-17-0-523,11/16/14,1
3-12-11-14-523,11/16/14,2
3-13-12-9-523,11/16/15,1
3-16-9-11-523,11/16/15,1
3-17-9-11-523,11/16/15,1
3-24-13-10-523,11/16/15,1
3-26-13-8-523,11/16/15,1
3-26-19-8-523,11/16/15,2
6-11-13-15-490,11/16/15,1
3-12-13-9-523,11/16/16,1
3-14-9-10-523,11/16/16,2
3-15-10-8-523,11/16/16,1
3-22-10-8-523,11/16/16,1
3-9-7-12-523,11/16/16,1
6-11-13-14-490,11/16/16,1
3-9-7-13-523,11/17/08,3
3-9-7-13-523,11/17/09,3
3-12-10-12-523,11/17/10,1
3-14-12-12-523,11/17/10,1
3-15-10-14-523,11/17/10,1
3-9-7-13-523,11/17/10,1
3-9-7-14-523,11/17/10,2
3-9-9-14-523,11/17/10,1
5-18-15-12-490,11/17/10,1
5-20-9-14-457,11/17/10,1
5-15-14-0-490,11/17/11,1
3-10-8-13-523,11/17/12,1
3-22-9-12-523,11/17/12,1
3-27-16-13-523,11/17/12,1
3-17-9-11-523,11/17/13,1
3-19-11-11-523,11/17/13,1
3-24-22-10-523,11/17/13,1
3-14-9-10-523,11/17/14,1
3-15-13-10-523,11/17/14,1
3-24-13-10-523,11/17/14,1
3-27-12-12-523,11/17/14,1
3-9-7-11-523,11/17/14,1
5-14-14-11-490,11/17/14,1
3-17-10-11-523,11/17/15,1
3-17-9-11-523,11/17/15,1
3-9-8-13-523,11/17/15,1
3-12-13-9-523,11/17/16,1
3-10-14-11-496,11/18/08,1
3-12-12-12-523,11/18/08,1
3-14-8-11-523,11/18/08,1
3-9-7-12-523,11/18/08,1
3-9-7-13-523,11/18/08,2
3-9-8-12-523,11/18/08,1
5-16-13-10-490,11/18/08,1
3-10-14-12-496,11/18/09,1
3-11-13-12-496,11/18/09,1
3-14-11-13-523,11/18/09,1
3-9-7-13-523,11/18/09,1
4-15-12-0-490,11/18/09,1
3-12-15-13-523,11/18/10,1
3-7-8-14-523,11/18/10,1
3-9-7-14-523,11/18/10,1
3-9-9-13-523,11/18/10,1
4-16-14-0-517,11/18/10,1
5-18-15-12-490,11/18/10,1
5-20-8-13-457,11/18/10,1
3-14-11-11-523,11/18/11,1
3-9-7-14-523,11/18/11,1
4-15-13-0-490,11/18/11,1
3-15-20-13-523,11/18/12,1
4-30-8-0-517,11/18/12,1
3-10-15-11-496,11/18/13,1
3-10-7-14-523,11/18/13,1
3-12-9-11-523,11/18/13,1
3-13-10-11-523,11/18/13,1
3-16-12-10-523,11/18/13,1
3-16-9-11-523,11/18/13,1
3-24-22-10-523,11/18/13,1
3-10-6-11-523,11/18/14,1
3-10-7-12-523,11/18/14,1
3-11-13-11-496,11/18/14,1
3-12-11-14-523,11/18/14,1
3-12-12-9-523,11/18/14,1
3-13-14-10-523,11/18/14,1
3-14-10-8-523,11/18/14,1
3-14-9-10-523,11/18/14,1
3-16-9-11-523,11/18/14,1
3-24-13-10-523,11/18/14,1
3-13-11-9-523,11/18/15,2
3-24-13-10-523,11/18/15,1
3-17-9-11-523,11/18/16,1
3-9-8-12-523,11/18/16,1
3-17-16-13-523,11/19/08,1
3-9-7-13-523,11/19/08,1
3-10-14-12-496,11/19/09,1
3-12-9-11-550,11/19/09,1
3-9-7-13-523,11/19/09,1
3-9-8-13-523,11/19/09,1
3-9-9-13-523,11/19/09,1
4-10-16-0-544,11/19/09,1
5-13-9-10-490,11/19/09,1
5-9-7-13-523,11/19/09,1
3-14-11-12-523,11/19/10,1
3-23-11-13-523,11/19/10,1
3-9-7-13-523,11/19/10,2
3-9-7-14-523,11/19/10,2
4-15-8-0-490,11/19/10,1
3-9-7-13-523,11/19/11,1
3-12-8-13-523,11/19/12,1
3-26-9-12-523,11/19/12,1
3-9-9-13-523,11/19/12,1
3-17-10-11-523,11/19/13,1
3-17-9-11-523,11/19/13,1
4-14-10-0-490,11/19/13,1
3-10-7-11-523,11/19/14,1
3-10-8-12-523,11/19/14,2
3-10-8-9-523,11/19/14,1
3-12-11-14-523,11/19/14,1
3-20-14-12-523,11/19/14,1
3-26-13-8-523,11/19/14,1
3-9-7-12-523,11/19/14,1
4-11-11-0-490,11/19/14,1
4-16-11-0-517,11/19/14,1
3-12-12-9-523,11/19/15,1
3-13-11-9-523,11/19/15,3
3-26-19-8-523,11/19/15,1
3-15-11-10-523,11/2/09,1
3-9-8-13-523,11/2/09,1
4-14-11-0-490,11/2/09,1
3-15-0-0-517,11/2/10,1
4-13-12-0-490,11/2/10,1
5-15-16-17-490,11/2/10,1
3-10-15-12-496,11/2/11,1
3-12-9-11-550,11/2/11,1
3-14-9-14-523,11/2/11,2
3-13-9-11-523,11/2/13,1
3-14-11-10-523,11/2/14,1
3-25-13-10-523,11/2/14,1
3-10-14-11-496,11/2/15,1
3-14-10-8-523,11/2/15,1
3-22-15-12-523,11/2/15,1
3-26-13-8-523,11/2/15,1
3-9-12-11-496,11/2/15,1
5-16-0-0-490,11/2/15,1
3-12-13-9-523,11/2/16,1
3-9-7-12-523,11/20/08,1
3-10-8-10-523,11/20/09,1
3-9-7-13-523,11/20/09,1
5-15-16-13-490,11/20/09,1
5-9-8-13-523,11/20/09,1
3-10-14-12-496,11/20/11,1
3-10-14-12-496,11/20/12,1
3-14-11-12-523,11/20/12,1
3-16-9-12-523,11/20/12,1
3-17-9-12-523,11/20/12,3
3-21-14-13-523,11/20/12,1
3-29-8-12-523,11/20/12,1
3-9-9-13-523,11/20/12,1
3-12-10-8-523,11/20/13,1
3-12-12-9-523,11/20/13,2
3-13-11-9-523,11/20/13,1
3-13-14-9-523,11/20/13,1
3-17-8-11-523,11/20/13,1
3-17-9-11-523,11/20/13,2
3-24-24-10-523,11/20/13,1
3-9-7-13-523,11/20/13,1
3-10-7-10-523,11/20/14,1
3-10-7-11-523,11/20/14,1
3-11-13-11-496,11/20/14,2
3-12-12-9-523,11/20/14,1
3-14-10-8-523,11/20/14,1
4-16-11-0-517,11/20/14,1
3-12-12-9-523,11/20/15,2
3-17-10-12-523,11/20/15,1
3-17-8-11-523,11/20/15,1
3-17-9-11-523,11/20/15,1
3-24-13-10-523,11/20/15,1
4-18-19-0-436,11/20/15,1
3-10-14-6-496,11/20/16,1
3-14-13-8-523,11/20/16,1
3-17-14-10-523,11/20/16,1
3-25-13-11-523,11/20/16,1
3-9-7-13-523,11/21/08,1
5-16-13-10-490,11/21/08,1
3-11-13-12-496,11/21/09,2
3-12-9-11-550,11/21/09,1
3-10-14-12-496,11/21/10,1
3-10-17-0-523,11/21/10,1
3-12-9-11-550,11/21/10,1
3-9-7-13-523,11/21/10,2
3-9-8-13-523,11/21/10,1
3-9-9-13-523,11/21/10,1
3-11-15-14-436,11/21/11,1
3-11-17-11-523,11/21/11,1
3-15-10-14-523,11/21/11,1
3-9-7-13-496,11/21/11,1
3-9-7-13-523,11/21/11,3
3-9-8-14-523,11/21/11,1
4-14-13-0-490,11/21/11,1
3-10-8-8-523,11/21/12,1
3-13-11-10-523,11/21/12,1
3-16-9-12-523,11/21/12,1
3-17-9-12-523,11/21/12,1
4-19-10-0-490,11/21/12,1
3-16-8-11-523,11/21/13,1
3-16-9-11-523,11/21/13,2
3-17-9-11-523,11/21/13,1
3-24-24-10-523,11/21/13,1
3-10-14-10-496,11/21/14,1
3-10-7-11-523,11/21/14,2
3-14-10-8-523,11/21/14,1
3-17-10-11-523,11/21/14,1
3-24-13-10-523,11/21/14,1
3-24-14-10-523,11/21/14,1
3-14-10-8-523,11/21/15,1
3-12-10-10-523,11/21/16,2
3-24-13-11-523,11/21/16,1
3-25-12-10-523,11/21/16,1
3-9-7-12-523,11/21/16,1
3-9-7-13-523,11/22/08,3
6-11-17-10-490,11/22/09,2
3-12-9-10-550,11/22/10,1
3-24-21-10-523,11/22/10,1
3-25-21-10-523,11/22/10,1
3-9-8-13-523,11/22/10,1
4-15-14-0-517,11/22/10,1
3-10-15-12-496,11/22/11,1
3-11-15-11-523,11/22/11,1
3-11-7-9-523,11/22/11,1
3-9-7-13-523,11/22/11,2
3-9-8-13-523,11/22/11,1
3-12-14-13-523,11/22/12,1
3-16-9-12-523,11/22/12,1
3-17-9-13-523,11/22/12,1
3-9-8-13-523,11/22/12,1
3-10-7-14-523,11/22/13,1
3-10-9-9-523,11/22/13,1
3-16-9-11-523,11/22/13,2
3-17-9-10-523,11/22/13,1
3-12-12-9-523,11/22/14,1
3-17-9-11-523,11/22/14,1
3-25-12-11-523,11/22/14,2
3-12-12-9-523,11/22/15,1
3-24-14-10-523,11/22/15,1
3-14-11-9-523,11/22/16,1
3-17-9-11-523,11/22/16,1
3-23-14-11-523,11/22/16,1
3-10-14-12-496,11/23/09,2
3-10-15-12-496,11/23/09,1
3-13-9-12-469,11/23/09,1
3-14-8-14-523,11/23/09,1
3-16-16-14-523,11/23/09,1
3-9-7-13-523,11/23/09,1
3-10-8-13-523,11/23/10,1
3-14-11-12-523,11/23/10,1
3-23-24-12-523,11/23/10,1
3-9-7-13-523,11/23/10,1
3-9-7-14-523,11/23/10,5
4-15-11-0-490,11/23/10,1
4-15-8-0-490,11/23/10,1
4-15-9-0-490,11/23/10,1
5-18-15-12-490,11/23/10,1
3-11-7-9-523,11/23/11,1
3-9-8-13-523,11/23/11,1
3-10-9-9-496,11/23/12,1
3-11-11-17-523,11/23/12,1
3-12-8-12-523,11/23/12,1
3-16-9-12-523,11/23/12,1
3-17-9-11-523,11/23/12,1
3-9-9-13-523,11/23/12,1
3-16-9-11-523,11/23/13,2
3-10-7-12-523,11/23/14,1
3-13-13-9-523,11/23/14,2
5-14-14-11-490,11/23/14,1
3-10-8-9-523,11/23/15,1
3-12-12-9-523,11/23/15,1
3-14-10-8-523,11/23/15,1
3-21-14-12-523,11/23/15,1
3-26-14-12-523,11/23/15,1
3-9-4-12-523,11/23/15,1
4-13-8-0-490,11/23/15,1
3-15-10-8-523,11/23/16,1
3-26-13-8-523,11/23/16,1
3-14-11-10-523,11/24/08,1
3-15-11-9-523,11/24/08,1
3-24-15-10-523,11/24/08,1
3-9-7-13-523,11/24/08,2
3-9-7-13-523,11/24/09,1
5-15-16-13-490,11/24/09,1
3-10-15-12-496,11/24/10,1
3-10-7-13-523,11/24/10,1
3-12-12-9-523,11/24/10,1
3-23-12-13-523,11/24/10,1
3-9-7-14-523,11/24/10,1
3-9-8-13-523,11/24/10,1
4-15-11-0-490,11/24/10,2
3-11-9-11-523,11/24/11,1
3-17-17-14-523,11/24/11,1
3-23-24-13-523,11/24/11,1
3-9-8-13-523,11/24/11,1
4-13-14-0-517,11/24/11,1
4-14-10-0-490,11/24/11,1
3-16-9-11-523,11/24/13,1
3-10-7-11-523,11/24/14,1
3-12-14-9-523,11/24/14,1
3-13-12-9-523,11/24/14,1
3-14-10-8-523,11/24/14,1
3-16-10-11-523,11/24/14,1
3-17-9-11-523,11/24/14,1
3-9-8-12-523,11/24/14,2
5-15-14-12-490,11/24/14,1
3-12-12-9-523,11/24/15,1
3-17-9-12-523,11/24/15,1
3-24-13-10-523,11/24/15,1
3-26-17-10-523,11/24/15,1
3-13-12-9-523,11/24/16,1
3-17-16-13-523,11/25/08,1
3-26-15-11-523,11/25/08,1
3-9-7-13-523,11/25/08,5
3-9-8-12-523,11/25/08,2
3-10-14-12-496,11/25/09,1
3-10-8-10-523,11/25/09,1
3-12-11-15-523,11/25/09,1
3-17-17-14-523,11/25/09,1
3-9-8-13-523,11/25/09,1
3-11-7-13-523,11/25/10,1
3-12-9-10-550,11/25/10,1
3-9-7-13-523,11/25/10,4
3-9-7-14-523,11/25/10,3
3-9-9-13-523,11/25/10,1
5-18-15-12-490,11/25/10,1
3-11-7-9-523,11/25/11,1
3-9-8-13-523,11/25/11,1
3-10-14-12-496,11/25/13,1
3-12-8-12-523,11/25/13,2
3-9-8-12-523,11/25/13,1
